0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:59:48 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:11:59:48 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:00:22 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:00:23 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:00:23 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:00:26 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:12 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1035
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:15 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:15 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:15 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:15 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:16 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:53 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:55 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [16/Mar/2018:12:01:55 +0900] "GET /Web_Project/CSS/exam2/3-3-04.html HTTP/1.1" 304 -
